,open,close,close_open
154,2022-02-13 18:45:01,2022-02-13 19:20:17,0 days 00:35:16
155,2022-02-13 21:09:36,2022-02-14 03:40:27,0 days 06:30:51
156,2022-02-14 17:15:01,2022-02-14 23:22:32,0 days 06:07:31
157,2022-02-15 01:27:02,2022-02-15 03:31:41,0 days 02:04:39
158,2022-02-15 14:30:57,2022-02-16 03:48:57,0 days 13:18:00
159,2022-02-17 14:32:39,2022-02-17 20:42:46,0 days 06:10:07
160,2022-02-18 14:28:10,2022-02-18 23:20:58,0 days 08:52:48
161,2022-02-20 00:35:47,2022-02-20 03:45:30,0 days 03:09:43
162,2022-02-20 15:40:35,2022-02-20 17:42:59,0 days 02:02:24
163,2022-02-20 18:02:10,2022-02-20 20:32:52,0 days 02:30:42
164,2022-02-21 23:32:24,2022-02-21 23:36:28,0 days 00:04:04
165,2022-02-22 14:41:56,2022-02-23 00:10:11,0 days 09:28:15
166,2022-02-23 14:30:53,2022-02-24 01:42:46,0 days 11:11:53
167,2022-02-24 12:04:12,2022-02-24 12:38:40,0 days 00:34:28
168,2022-02-24 15:26:01,2022-02-24 21:33:58,0 days 06:07:57
169,2022-02-25 15:20:45,2022-02-26 02:47:31,0 days 11:26:46
170,2022-02-28 01:08:41,2022-02-28 02:34:17,0 days 01:25:36
171,2022-02-28 15:41:44,2022-02-28 19:13:25,0 days 03:31:41
172,2022-02-28 19:46:06,2022-02-28 21:50:51,0 days 02:04:45
173,2022-03-02 15:49:13,2022-03-03 02:33:38,0 days 10:44:25
174,2022-03-04 15:51:57,2022-03-04 15:55:38,0 days 00:03:41
175,2022-03-04 18:14:22,2022-03-04 18:49:07,0 days 00:34:45
176,2022-03-04 19:57:08,2022-03-04 20:29:33,0 days 00:32:25
177,2022-03-05 18:56:33,2022-03-05 19:02:21,0 days 00:05:48
178,2022-03-05 20:25:07,2022-03-06 02:35:57,0 days 06:10:50
179,2022-03-06 17:31:17,2022-03-06 20:35:31,0 days 03:04:14
180,2022-03-06 22:30:57,2022-03-07 02:57:05,0 days 04:26:08
181,2022-03-07 14:42:55,2022-03-07 21:27:44,0 days 06:44:49
182,2022-03-12 20:04:12,2022-03-12 21:24:05,0 days 01:19:53
183,2022-03-13 18:03:49,2022-03-14 03:16:38,0 days 09:12:49
184,2022-03-14 16:14:41,2022-03-14 16:42:08,0 days 00:27:27
185,2022-03-14 16:46:33,2022-03-14 16:48:20,0 days 00:01:47
186,2022-03-14 17:30:54,2022-03-14 18:39:18,0 days 01:08:24
187,2022-03-14 18:46:44,2022-03-15 02:49:00,0 days 08:02:16
188,2022-03-16 22:14:26,2022-03-17 02:06:50,0 days 03:52:24
189,2022-03-17 14:42:38,2022-03-17 15:03:49,0 days 00:21:11
190,2022-03-17 15:08:04,2022-03-17 18:07:30,0 days 02:59:26
191,2022-03-17 18:24:03,2022-03-17 18:31:09,0 days 00:07:06
192,2022-03-18 00:00:27,2022-03-18 02:28:10,0 days 02:27:43
193,2022-03-20 16:54:55,2022-03-21 02:14:30,0 days 09:19:35
194,2022-03-21 15:08:24,2022-03-22 03:06:04,0 days 11:57:40
195,2022-03-23 19:26:53,2022-03-23 22:06:36,0 days 02:39:43
196,2022-03-26 22:53:38,2022-03-27 01:56:18,0 days 03:02:40
197,2022-03-27 16:01:08,2022-03-27 16:34:55,0 days 00:33:47
198,2022-03-28 16:25:44,2022-03-28 21:16:03,0 days 04:50:19
199,2022-03-29 00:02:57,2022-03-29 02:07:18,0 days 02:04:21
200,2022-03-29 17:12:01,2022-03-29 20:47:05,0 days 03:35:04
201,2022-03-30 18:17:53,2022-03-31 03:01:07,0 days 08:43:14
202,2022-03-31 17:03:37,2022-04-01 00:35:22,0 days 07:31:45
203,2022-04-01 20:15:49,2022-04-01 23:10:58,0 days 02:55:09
204,2022-04-01 23:56:38,2022-04-02 01:38:57,0 days 01:42:19
205,2022-04-02 16:35:15,2022-04-02 22:38:15,0 days 06:03:00
206,2022-04-03 22:59:32,2022-04-04 01:39:29,0 days 02:39:57
207,2022-04-04 15:26:59,2022-04-04 17:10:18,0 days 01:43:19
208,2022-04-04 19:01:51,2022-04-04 20:07:08,0 days 01:05:17
209,2022-04-04 21:10:48,2022-04-04 22:43:11,0 days 01:32:23
210,2022-04-04 23:11:56,2022-04-05 00:16:24,0 days 01:04:28
211,2022-04-07 16:35:13,2022-04-08 01:23:18,0 days 08:48:05
212,2022-04-08 20:02:35,2022-04-08 20:11:13,0 days 00:08:38
213,2022-04-08 20:18:03,2022-04-08 20:33:17,0 days 00:15:14
214,2022-04-08 21:05:01,2022-04-08 21:47:06,0 days 00:42:05
215,2022-04-09 15:45:02,2022-04-10 02:25:41,0 days 10:40:39
216,2022-04-11 16:56:16,2022-04-11 17:16:43,0 days 00:20:27
217,2022-04-12 21:37:13,2022-04-12 23:55:36,0 days 02:18:23
218,2022-04-13 21:07:49,2022-04-13 23:18:15,0 days 02:10:26
219,2022-04-16 23:53:26,2022-04-17 02:15:15,0 days 02:21:49
220,2022-04-19 17:37:08,2022-04-19 17:51:09,0 days 00:14:01
221,2022-04-19 18:28:53,2022-04-19 18:46:21,0 days 00:17:28
222,2022-04-19 19:36:02,2022-04-19 22:08:10,0 days 02:32:08
223,2022-04-19 22:15:43,2022-04-19 23:14:58,0 days 00:59:15
224,2022-04-19 23:25:28,2022-04-20 01:23:54,0 days 01:58:26
225,2022-04-21 21:12:33,2022-04-22 00:25:14,0 days 03:12:41
226,2022-04-22 23:52:11,2022-04-23 01:20:04,0 days 01:27:53
227,2022-04-23 16:27:56,2022-04-24 02:02:54,0 days 09:34:58
228,2022-04-24 16:18:55,2022-04-25 00:58:22,0 days 08:39:27
229,2022-04-25 17:15:07,2022-04-26 00:51:06,0 days 07:35:59
230,2022-04-26 21:43:28,2022-04-27 00:46:48,0 days 03:03:20
231,2022-04-27 17:07:00,2022-04-27 18:08:09,0 days 01:01:09
232,2022-04-28 21:23:20,2022-04-28 22:30:58,0 days 01:07:38
233,2022-04-29 22:05:30,2022-04-30 00:39:32,0 days 02:34:02
234,2022-05-03 17:23:03,2022-05-03 20:43:06,0 days 03:20:03
235,2022-05-09 19:44:36,2022-05-10 01:26:58,0 days 05:42:22
236,2022-05-12 23:36:45,2022-05-13 01:47:29,0 days 02:10:44
237,2022-05-13 16:29:32,2022-05-13 22:32:22,0 days 06:02:50
238,2022-05-13 23:00:07,2022-05-14 01:51:53,0 days 02:51:46
239,2022-05-14 17:49:53,2022-05-15 01:19:08,0 days 07:29:15
240,2022-05-15 16:57:24,2022-05-15 20:33:36,0 days 03:36:12
241,2022-05-15 21:15:10,2022-05-15 22:53:00,0 days 01:37:50
242,2022-05-17 22:36:58,2022-05-17 23:54:14,0 days 01:17:16
243,2022-05-18 16:55:24,2022-05-18 23:57:10,0 days 07:01:46
244,2022-05-20 22:18:26,2022-05-20 23:41:08,0 days 01:22:42
245,2022-05-21 17:19:30,2022-05-21 18:11:09,0 days 00:51:39
246,2022-05-21 18:15:18,2022-05-21 21:00:09,0 days 02:44:51
247,2022-05-21 21:04:31,2022-05-22 00:41:58,0 days 03:37:27
248,2022-05-22 16:21:50,2022-05-22 17:01:08,0 days 00:39:18
249,2022-05-22 17:03:28,2022-05-22 22:54:54,0 days 05:51:26
250,2022-05-28 16:38:54,2022-05-29 00:39:51,0 days 08:00:57
251,2022-05-29 16:45:41,2022-05-29 16:49:44,0 days 00:04:03
252,2022-05-29 17:34:46,2022-05-29 18:04:51,0 days 00:30:05
253,2022-05-29 21:02:05,2022-05-30 01:18:04,0 days 04:15:59
254,2022-05-30 19:02:58,2022-05-31 01:13:08,0 days 06:10:10
